defect_id,machine_id,timestamp,defect_count,batch_id,wafer_lot,defect_type,severity,yield_loss_pct,process_step
D-0000117,M-0003,2025-04-19T00:00:00,1,B-108-M-0003,WL-9659,etch_depth,low,0.756,lithography
D-0000118,M-0003,2025-04-22T00:00:00,1,B-111-M-0003,WL-5455,alignment,low,0.282,lithography
D-0000119,M-0003,2025-04-25T00:00:00,3,B-114-M-0003,WL-3776,film_uniformity,medium,2.379,lithography
D-0000120,M-0003,2025-04-28T00:00:00,2,B-117-M-0003,WL-7167,particle,low,1.126,lithography
D-0000121,M-0004,2025-01-01T00:00:00,0,B-000-M-0004,WL-2006,scratch,low,0.0,lithography
D-0000122,M-0004,2025-01-04T00:00:00,2,B-003-M-0004,WL-7558,etch_depth,low,1.377,lithography
D-0000123,M-0004,2025-01-07T00:00:00,1,B-006-M-0004,WL-8588,alignment,low,0.778,lithography
D-0000124,M-0004,2025-01-10T00:00:00,0,B-009-M-0004,WL-9389,etch_depth,low,0.0,lithography
D-0000125,M-0004,2025-01-13T00:00:00,2,B-012-M-0004,WL-2545,etch_depth,low,1.529,lithography
D-0000126,M-0004,2025-01-16T00:00:00,3,B-015-M-0004,WL-7595,scratch,medium,1.263,lithography
D-0000127,M-0004,2025-01-19T00:00:00,1,B-018-M-0004,WL-6570,particle,low,0.433,lithography
D-0000128,M-0004,2025-01-22T00:00:00,6,B-021-M-0004,WL-2592,scratch,medium,2.666,lithography
D-0000129,M-0004,2025-01-25T00:00:00,2,B-024-M-0004,WL-4619,etch_depth,low,1.581,lithography
D-0000130,M-0004,2025-01-28T00:00:00,2,B-027-M-0004,WL-9175,film_uniformity,low,1.254,lithography
D-0000131,M-0004,2025-01-31T00:00:00,2,B-030-M-0004,WL-1338,film_uniformity,low,1.372,lithography
D-0000132,M-0004,2025-02-03T00:00:00,1,B-033-M-0004,WL-7093,scratch,low,0.552,lithography
D-0000133,M-0004,2025-02-06T00:00:00,0,B-036-M-0004,WL-8658,particle,low,0.0,lithography
D-0000134,M-0004,2025-02-09T00:00:00,3,B-039-M-0004,WL-3736,film_uniformity,medium,1.621,lithography
D-0000135,M-0004,2025-02-12T00:00:00,1,B-042-M-0004,WL-9832,etch_depth,low,0.79,lithography
D-0000136,M-0004,2025-02-15T00:00:00,2,B-045-M-0004,WL-7813,scratch,low,0.801,lithography
D-0000137,M-0004,2025-02-18T00:00:00,4,B-048-M-0004,WL-7743,scratch,medium,1.867,lithography
D-0000138,M-0004,2025-02-21T00:00:00,6,B-051-M-0004,WL-7855,film_uniformity,medium,2.203,lithography
D-0000139,M-0004,2025-02-24T00:00:00,3,B-054-M-0004,WL-6895,film_uniformity,medium,1.045,lithography
D-0000140,M-0004,2025-02-27T00:00:00,8,B-057-M-0004,WL-9710,scratch,high,6.292,lithography
D-0000141,M-0004,2025-03-02T00:00:00,0,B-060-M-0004,WL-1165,etch_depth,low,0.0,lithography
D-0000142,M-0004,2025-03-05T00:00:00,4,B-063-M-0004,WL-5273,scratch,medium,3.372,lithography
D-0000143,M-0004,2025-03-08T00:00:00,3,B-066-M-0004,WL-2698,particle,medium,1.545,lithography
D-0000144,M-0004,2025-03-11T00:00:00,6,B-069-M-0004,WL-9513,particle,medium,4.246,lithography
D-0000145,M-0004,2025-03-14T00:00:00,2,B-072-M-0004,WL-1422,alignment,low,1.063,lithography
D-0000146,M-0004,2025-03-17T00:00:00,6,B-075-M-0004,WL-3766,etch_depth,medium,2.122,lithography
D-0000147,M-0004,2025-03-20T00:00:00,4,B-078-M-0004,WL-8164,scratch,medium,2.173,lithography
D-0000148,M-0004,2025-03-23T00:00:00,2,B-081-M-0004,WL-6956,film_uniformity,low,1.677,lithography
D-0000149,M-0004,2025-03-26T00:00:00,1,B-084-M-0004,WL-9870,scratch,low,0.845,lithography
D-0000150,M-0004,2025-03-29T00:00:00,4,B-087-M-0004,WL-6268,particle,medium,2.09,lithography
D-0000151,M-0004,2025-04-01T00:00:00,3,B-090-M-0004,WL-9112,scratch,medium,0.845,lithography
D-0000152,M-0004,2025-04-04T00:00:00,2,B-093-M-0004,WL-6322,scratch,low,1.345,lithography
D-0000153,M-0004,2025-04-07T00:00:00,4,B-096-M-0004,WL-9519,etch_depth,medium,2.573,lithography
D-0000154,M-0004,2025-04-10T00:00:00,4,B-099-M-0004,WL-9244,etch_depth,medium,1.737,lithography
D-0000155,M-0004,2025-04-13T00:00:00,2,B-102-M-0004,WL-8225,particle,low,0.755,lithography
D-0000156,M-0004,2025-04-16T00:00:00,3,B-105-M-0004,WL-8591,film_uniformity,medium,2.541,lithography
D-0000157,M-0004,2025-04-19T00:00:00,6,B-108-M-0004,WL-8870,scratch,medium,4.568,lithography
D-0000158,M-0004,2025-04-22T00:00:00,2,B-111-M-0004,WL-8617,etch_depth,low,1.712,lithography
D-0000159,M-0004,2025-04-25T00:00:00,3,B-114-M-0004,WL-1429,scratch,medium,2.689,lithography
D-0000160,M-0004,2025-04-28T00:00:00,3,B-117-M-0004,WL-2453,alignment,medium,2.616,lithography
D-0000161,M-0005,2025-01-01T00:00:00,3,B-000-M-0005,WL-8786,alignment,medium,2.132,etch
D-0000162,M-0005,2025-01-04T00:00:00,0,B-003-M-0005,WL-3892,film_uniformity,low,0.0,etch
D-0000163,M-0005,2025-01-07T00:00:00,2,B-006-M-0005,WL-6466,particle,low,0.821,etch
D-0000164,M-0005,2025-01-10T00:00:00,1,B-009-M-0005,WL-6313,etch_depth,low,0.489,etch
D-0000165,M-0005,2025-01-13T00:00:00,2,B-012-M-0005,WL-5058,alignment,low,0.609,etch
D-0000166,M-0005,2025-01-16T00:00:00,3,B-015-M-0005,WL-6235,alignment,medium,2.101,etch
D-0000167,M-0005,2025-01-19T00:00:00,1,B-018-M-0005,WL-3579,scratch,low,0.505,etch
D-0000168,M-0005,2025-01-22T00:00:00,0,B-021-M-0005,WL-4608,alignment,low,0.0,etch
D-0000169,M-0005,2025-01-25T00:00:00,0,B-024-M-0005,WL-1619,etch_depth,low,0.0,etch
D-0000170,M-0005,2025-01-28T00:00:00,1,B-027-M-0005,WL-7115,film_uniformity,low,0.583,etch
D-0000171,M-0005,2025-01-31T00:00:00,0,B-030-M-0005,WL-4089,film_uniformity,low,0.0,etch
D-0000172,M-0005,2025-02-03T00:00:00,4,B-033-M-0005,WL-6989,film_uniformity,medium,3.527,etch
D-0000173,M-0005,2025-02-06T00:00:00,1,B-036-M-0005,WL-9224,particle,low,0.759,etch
D-0000174,M-0005,2025-02-09T00:00:00,3,B-039-M-0005,WL-4543,etch_depth,medium,1.178,etch
D-0000175,M-0005,2025-02-12T00:00:00,3,B-042-M-0005,WL-1427,etch_depth,medium,0.826,etch
D-0000176,M-0005,2025-02-15T00:00:00,2,B-045-M-0005,WL-8084,particle,low,1.57,etch
D-0000177,M-0005,2025-02-18T00:00:00,1,B-048-M-0005,WL-6901,etch_depth,low,0.541,etch
D-0000178,M-0005,2025-02-21T00:00:00,1,B-051-M-0005,WL-3042,alignment,low,0.777,etch
D-0000179,M-0005,2025-02-24T00:00:00,4,B-054-M-0005,WL-8113,particle,medium,2.679,etch
D-0000180,M-0005,2025-02-27T00:00:00,1,B-057-M-0005,WL-5549,film_uniformity,low,0.599,etch
D-0000181,M-0005,2025-03-02T00:00:00,0,B-060-M-0005,WL-2778,film_uniformity,low,0.0,etch
D-0000182,M-0005,2025-03-05T00:00:00,0,B-063-M-0005,WL-3322,alignment,low,0.0,etch
D-0000183,M-0005,2025-03-08T00:00:00,0,B-066-M-0005,WL-7130,etch_depth,low,0.0,etch
D-0000184,M-0005,2025-03-11T00:00:00,1,B-069-M-0005,WL-1911,alignment,low,0.348,etch
D-0000185,M-0005,2025-03-14T00:00:00,2,B-072-M-0005,WL-2251,particle,low,0.555,etch
D-0000186,M-0005,2025-03-17T00:00:00,3,B-075-M-0005,WL-5334,scratch,medium,1.243,etch
D-0000187,M-0005,2025-03-20T00:00:00,1,B-078-M-0005,WL-4305,particle,low,0.376,etch
D-0000188,M-0005,2025-03-23T00:00:00,2,B-081-M-0005,WL-7238,particle,low,0.678,etch
D-0000189,M-0005,2025-03-26T00:00:00,2,B-084-M-0005,WL-6999,etch_depth,low,0.663,etch
D-0000190,M-0005,2025-03-29T00:00:00,1,B-087-M-0005,WL-5057,etch_depth,low,0.277,etch
D-0000191,M-0005,2025-04-01T00:00:00,0,B-090-M-0005,WL-1727,scratch,low,0.0,etch
D-0000192,M-0005,2025-04-04T00:00:00,1,B-093-M-0005,WL-1558,scratch,low,0.492,etch
D-0000193,M-0005,2025-04-07T00:00:00,1,B-096-M-0005,WL-3520,scratch,low,0.883,etch
D-0000194,M-0005,2025-04-10T00:00:00,0,B-099-M-0005,WL-3858,alignment,low,0.0,etch
D-0000195,M-0005,2025-04-13T00:00:00,0,B-102-M-0005,WL-6811,etch_depth,low,0.0,etch
D-0000196,M-0005,2025-04-16T00:00:00,1,B-105-M-0005,WL-8683,particle,low,0.537,etch
D-0000197,M-0005,2025-04-19T00:00:00,2,B-108-M-0005,WL-2414,scratch,low,0.663,etch
D-0000198,M-0005,2025-04-22T00:00:00,4,B-111-M-0005,WL-9377,scratch,medium,1.39,etch
D-0000199,M-0005,2025-04-25T00:00:00,1,B-114-M-0005,WL-3336,alignment,low,0.34,etch
D-0000200,M-0005,2025-04-28T00:00:00,3,B-117-M-0005,WL-4674,scratch,medium,1.743,etch
D-0000201,M-0006,2025-01-01T00:00:00,1,B-000-M-0006,WL-9793,film_uniformity,low,0.595,lithography
D-0000202,M-0006,2025-01-04T00:00:00,2,B-003-M-0006,WL-1177,alignment,low,0.968,lithography
D-0000203,M-0006,2025-01-07T00:00:00,1,B-006-M-0006,WL-2652,alignment,low,0.686,lithography
D-0000204,M-0006,2025-01-10T00:00:00,2,B-009-M-0006,WL-4759,film_uniformity,low,1.604,lithography
D-0000205,M-0006,2025-01-13T00:00:00,1,B-012-M-0006,WL-3022,etch_depth,low,0.887,lithography
D-0000206,M-0006,2025-01-16T00:00:00,1,B-015-M-0006,WL-4746,scratch,low,0.519,lithography
D-0000207,M-0006,2025-01-19T00:00:00,0,B-018-M-0006,WL-4389,etch_depth,low,0.0,lithography
D-0000208,M-0006,2025-01-22T00:00:00,0,B-021-M-0006,WL-5011,film_uniformity,low,0.0,lithography
D-0000209,M-0006,2025-01-25T00:00:00,1,B-024-M-0006,WL-2470,alignment,low,0.274,lithography
D-0000210,M-0006,2025-01-28T00:00:00,1,B-027-M-0006,WL-6820,particle,low,0.384,lithography
D-0000211,M-0006,2025-01-31T00:00:00,2,B-030-M-0006,WL-4146,film_uniformity,low,1.585,lithography
D-0000212,M-0006,2025-02-03T00:00:00,2,B-033-M-0006,WL-4864,film_uniformity,low,0.503,lithography
D-0000213,M-0006,2025-02-06T00:00:00,1,B-036-M-0006,WL-5003,film_uniformity,low,0.682,lithography
D-0000214,M-0006,2025-02-09T00:00:00,0,B-039-M-0006,WL-4767,film_uniformity,low,0.0,lithography
D-0000215,M-0006,2025-02-12T00:00:00,0,B-042-M-0006,WL-5491,etch_depth,low,0.0,lithography
D-0000216,M-0006,2025-02-15T00:00:00,2,B-045-M-0006,WL-4768,film_uniformity,low,1.379,lithography
D-0000217,M-0006,2025-02-18T00:00:00,1,B-048-M-0006,WL-5001,particle,low,0.52,lithography
D-0000218,M-0006,2025-02-21T00:00:00,0,B-051-M-0006,WL-8536,scratch,low,0.0,lithography
D-0000219,M-0006,2025-02-24T00:00:00,3,B-054-M-0006,WL-3828,scratch,medium,1.141,lithography
D-0000220,M-0006,2025-02-27T00:00:00,3,B-057-M-0006,WL-2617,scratch,medium,1.184,lithography
D-0000221,M-0006,2025-03-02T00:00:00,4,B-060-M-0006,WL-9650,scratch,medium,1.696,lithography
D-0000222,M-0006,2025-03-05T00:00:00,4,B-063-M-0006,WL-1647,alignment,medium,3.138,lithography
D-0000223,M-0006,2025-03-08T00:00:00,8,B-066-M-0006,WL-6045,etch_depth,high,2.245,lithography
D-0000224,M-0006,2025-03-11T00:00:00,8,B-069-M-0006,WL-2502,scratch,high,3.125,lithography
D-0000225,M-0006,2025-03-14T00:00:00,6,B-072-M-0006,WL-7812,film_uniformity,medium,3.221,lithography
D-0000226,M-0006,2025-03-17T00:00:00,3,B-075-M-0006,WL-1474,etch_depth,medium,2.089,lithography
D-0000227,M-0006,2025-03-20T00:00:00,5,B-078-M-0006,WL-2492,etch_depth,medium,1.892,lithography
D-0000228,M-0006,2025-03-23T00:00:00,6,B-081-M-0006,WL-6131,film_uniformity,medium,2.497,lithography
D-0000229,M-0006,2025-03-26T00:00:00,5,B-084-M-0006,WL-9580,alignment,medium,2.331,lithography
D-0000230,M-0006,2025-03-29T00:00:00,1,B-087-M-0006,WL-5127,etch_depth,low,0.806,lithography
D-0000231,M-0006,2025-04-01T00:00:00,5,B-090-M-0006,WL-1780,scratch,medium,1.445,lithography
D-0000232,M-0006,2025-04-04T00:00:00,6,B-093-M-0006,WL-4048,particle,medium,5.165,lithography
D-0000233,M-0006,2025-04-07T00:00:00,6,B-096-M-0006,WL-7162,scratch,medium,1.776,lithography
D-0000234,M-0006,2025-04-10T00:00:00,3,B-099-M-0006,WL-6336,alignment,medium,2.062,lithography
D-0000235,M-0006,2025-04-13T00:00:00,1,B-102-M-0006,WL-1886,film_uniformity,low,0.537,lithography
D-0000236,M-0006,2025-04-16T00:00:00,0,B-105-M-0006,WL-3710,scratch,low,0.0,lithography
D-0000237,M-0006,2025-04-19T00:00:00,3,B-108-M-0006,WL-8702,etch_depth,medium,1.91,lithography
D-0000238,M-0006,2025-04-22T00:00:00,4,B-111-M-0006,WL-9493,film_uniformity,medium,3.03,lithography
D-0000239,M-0006,2025-04-25T00:00:00,4,B-114-M-0006,WL-4873,particle,medium,2.528,lithography
D-0000240,M-0006,2025-04-28T00:00:00,0,B-117-M-0006,WL-6626,alignment,low,0.0,lithography
D-0000241,M-0007,2025-01-01T00:00:00,1,B-000-M-0007,WL-4459,particle,low,0.634,deposition
D-0000242,M-0007,2025-01-04T00:00:00,3,B-003-M-0007,WL-1041,particle,medium,1.487,deposition
D-0000243,M-0007,2025-01-07T00:00:00,0,B-006-M-0007,WL-3952,alignment,low,0.0,deposition
D-0000244,M-0007,2025-01-10T00:00:00,1,B-009-M-0007,WL-9543,etch_depth,low,0.702,deposition
D-0000245,M-0007,2025-01-13T00:00:00,1,B-012-M-0007,WL-4872,particle,low,0.875,deposition
D-0000246,M-0007,2025-01-16T00:00:00,0,B-015-M-0007,WL-6647,particle,low,0.0,deposition
D-0000247,M-0007,2025-01-19T00:00:00,2,B-018-M-0007,WL-6214,scratch,low,0.668,deposition
D-0000248,M-0007,2025-01-22T00:00:00,0,B-021-M-0007,WL-1787,scratch,low,0.0,deposition
