reading_id,machine_id,timestamp,temperature,vibration,pressure,power_draw,humidity,cycle_count,runtime_hours,chamber_pressure,gas_flow_rate,error_code
R-0000153,M-0002,2025-02-02T00:00:00,67.534,0.4189,102.619,15.512,46.0,2400,18.34,9.608,110.785,
R-0000154,M-0002,2025-02-03T00:00:00,66.918,0.3596,102.2,16.689,39.78,3003,12.92,9.825,87.028,
R-0000155,M-0002,2025-02-04T00:00:00,70.239,0.4039,99.782,14.295,38.72,3298,19.28,9.912,129.506,
R-0000156,M-0002,2025-02-05T00:00:00,67.75,0.471,100.837,18.348,38.12,2520,14.26,10.024,124.438,
R-0000157,M-0002,2025-02-06T00:00:00,69.283,0.3684,97.883,20.479,43.66,3384,23.09,10.186,101.87,
R-0000158,M-0002,2025-02-07T00:00:00,68.622,0.3959,100.082,18.052,44.73,2701,23.05,9.883,128.295,
R-0000159,M-0002,2025-02-08T00:00:00,68.251,0.3952,102.856,15.144,45.97,2736,17.26,10.188,127.991,
R-0000160,M-0002,2025-02-09T00:00:00,67.843,0.4534,100.033,19.222,46.05,3198,21.02,9.969,127.444,
R-0000161,M-0002,2025-02-10T00:00:00,66.658,0.42,95.903,15.748,42.56,4960,23.31,9.587,94.81,
R-0000162,M-0002,2025-02-11T00:00:00,68.481,0.4051,98.006,16.173,35.25,2993,17.64,9.858,123.442,
R-0000163,M-0002,2025-02-12T00:00:00,66.495,0.4566,100.652,16.541,47.46,4998,14.04,9.808,128.577,
R-0000164,M-0002,2025-02-13T00:00:00,71.51,0.4614,102.265,18.83,44.94,3440,19.6,10.033,122.582,
R-0000165,M-0002,2025-02-14T00:00:00,72.106,0.4634,95.998,15.712,35.29,5500,18.96,10.05,95.458,
R-0000166,M-0002,2025-02-15T00:00:00,72.932,0.4896,104.157,19.495,35.5,4005,23.46,9.785,114.548,
R-0000167,M-0002,2025-02-16T00:00:00,70.779,0.5582,103.363,17.057,46.85,5566,22.81,9.722,110.612,
R-0000168,M-0002,2025-02-17T00:00:00,71.93,0.5505,97.489,17.446,35.62,3431,20.26,10.24,128.292,
R-0000169,M-0002,2025-02-18T00:00:00,72.553,0.5971,100.401,19.625,45.07,3792,16.95,10.145,83.62,
R-0000170,M-0002,2025-02-19T00:00:00,73.474,0.5988,99.121,15.278,43.01,4557,23.94,10.265,125.803,
R-0000171,M-0002,2025-02-20T00:00:00,74.007,0.5555,99.577,18.528,39.81,3700,12.52,10.069,127.071,
R-0000172,M-0002,2025-02-21T00:00:00,74.458,0.6429,98.054,18.741,47.16,5712,19.79,10.584,100.758,
R-0000173,M-0002,2025-02-22T00:00:00,74.459,0.6934,95.588,18.021,46.02,5408,16.01,9.413,126.039,
R-0000174,M-0002,2025-02-23T00:00:00,77.054,0.6875,102.253,16.138,39.63,5300,18.01,10.308,93.015,
R-0000175,M-0002,2025-02-24T00:00:00,75.525,0.6748,102.03,18.175,38.73,3996,17.87,10.281,95.69,
R-0000176,M-0002,2025-02-25T00:00:00,77.627,0.7609,96.798,22.1,45.67,6765,18.46,10.286,91.073,
R-0000177,M-0002,2025-02-26T00:00:00,76.956,0.8448,94.895,17.694,41.9,6328,13.09,9.466,111.588,E-DEGRADE
R-0000178,M-0002,2025-02-27T00:00:00,75.021,0.8255,93.259,20.377,43.34,5073,21.19,10.287,100.517,
R-0000179,M-0002,2025-02-28T00:00:00,76.931,0.8081,92.524,22.211,40.09,4350,20.73,9.847,84.401,
R-0000180,M-0002,2025-03-01T00:00:00,73.32,0.8079,101.862,20.205,40.9,4484,22.6,10.202,102.603,
R-0000181,M-0002,2025-03-02T00:00:00,82.037,0.8473,96.698,22.534,35.88,7320,23.67,9.708,125.344,
R-0000182,M-0002,2025-03-03T00:00:00,73.95,0.638,103.558,16.042,39.07,5673,13.21,10.122,99.561,
R-0000183,M-0002,2025-03-04T00:00:00,72.519,0.4727,100.169,16.828,36.09,7750,14.7,10.045,80.692,
R-0000184,M-0002,2025-03-05T00:00:00,68.556,0.5012,100.074,16.355,40.01,7497,17.74,10.02,127.365,
R-0000185,M-0002,2025-03-06T00:00:00,67.325,0.4524,98.552,17.346,35.0,5312,12.43,10.049,110.319,
R-0000186,M-0002,2025-03-07T00:00:00,71.73,0.5064,94.592,16.697,44.86,7735,21.28,10.866,82.347,
R-0000187,M-0002,2025-03-08T00:00:00,72.325,0.5358,98.239,17.227,38.93,5742,21.77,10.139,91.824,
R-0000188,M-0002,2025-03-09T00:00:00,68.611,0.4686,98.333,16.683,45.85,7772,14.77,9.728,83.596,
R-0000189,M-0002,2025-03-10T00:00:00,73.512,0.5287,93.625,15.912,43.22,5032,22.82,10.569,109.018,
R-0000190,M-0002,2025-03-11T00:00:00,74.526,0.4956,99.195,17.427,37.21,5244,16.46,10.168,87.863,
R-0000191,M-0002,2025-03-12T00:00:00,73.674,0.546,97.879,17.758,42.86,7980,19.03,9.851,100.392,
R-0000192,M-0002,2025-03-13T00:00:00,72.443,0.5059,96.881,15.911,46.49,8094,16.35,10.153,93.2,
R-0000193,M-0002,2025-03-14T00:00:00,71.487,0.5601,102.388,15.954,47.34,6552,19.37,10.006,119.068,
R-0000194,M-0002,2025-03-15T00:00:00,71.533,0.4753,97.127,17.222,47.37,7884,20.96,9.805,83.959,
R-0000195,M-0002,2025-03-16T00:00:00,71.313,0.5161,98.129,12.106,47.61,7548,21.01,9.862,128.887,
R-0000196,M-0002,2025-03-17T00:00:00,71.585,0.4857,98.935,16.862,44.73,6750,20.61,9.915,116.177,
R-0000197,M-0002,2025-03-18T00:00:00,70.087,0.5178,98.494,16.953,43.64,8284,22.81,10.755,109.606,
R-0000198,M-0002,2025-03-19T00:00:00,70.716,0.4691,100.88,17.792,41.89,7315,18.92,10.237,92.297,
R-0000199,M-0002,2025-03-20T00:00:00,67.789,0.4768,98.927,16.67,38.36,9360,12.36,10.013,127.852,
R-0000200,M-0002,2025-03-21T00:00:00,70.205,0.5686,99.852,18.519,46.87,8374,21.87,10.091,81.945,
R-0000201,M-0002,2025-03-22T00:00:00,71.9,0.4998,103.765,16.048,47.4,8960,16.01,10.253,86.059,
R-0000202,M-0002,2025-03-23T00:00:00,76.491,0.62,99.071,17.4,40.3,8100,21.6,9.743,119.442,
R-0000203,M-0002,2025-03-24T00:00:00,68.648,0.5801,99.025,15.197,41.76,8200,22.05,10.571,121.478,
R-0000204,M-0002,2025-03-25T00:00:00,70.051,0.4658,100.237,17.676,42.78,8964,19.55,9.805,96.615,
R-0000205,M-0002,2025-03-26T00:00:00,70.729,0.4745,99.604,16.64,39.1,6300,22.44,10.28,92.032,
R-0000206,M-0002,2025-03-27T00:00:00,69.919,0.4959,100.219,14.915,35.12,8925,21.7,10.277,96.001,
R-0000207,M-0002,2025-03-28T00:00:00,69.377,0.4523,95.875,18.197,43.6,8686,13.46,10.449,102.741,
R-0000208,M-0002,2025-03-29T00:00:00,70.089,0.4907,101.502,17.746,42.22,6612,17.13,10.111,103.928,
R-0000209,M-0002,2025-03-30T00:00:00,69.334,0.4985,99.023,16.583,38.87,8360,21.92,9.891,120.414,
R-0000210,M-0002,2025-03-31T00:00:00,70.359,0.5535,99.933,18.075,47.32,9879,22.94,9.506,105.832,
R-0000211,M-0002,2025-04-01T00:00:00,70.792,0.5018,98.334,16.524,45.5,8910,13.19,10.113,127.19,
R-0000212,M-0002,2025-04-02T00:00:00,71.984,0.436,99.852,17.731,45.7,8099,18.55,9.584,109.167,
R-0000213,M-0002,2025-04-03T00:00:00,70.085,0.5866,96.633,20.098,37.68,6900,22.91,10.354,120.364,
R-0000214,M-0002,2025-04-04T00:00:00,72.971,0.5286,101.832,15.219,43.14,7719,23.9,10.06,94.023,
R-0000215,M-0002,2025-04-05T00:00:00,70.877,0.5593,101.856,18.076,36.17,7332,21.72,9.972,126.265,
R-0000216,M-0002,2025-04-06T00:00:00,69.319,0.4959,95.857,15.103,44.34,11400,12.09,9.496,93.689,
R-0000217,M-0002,2025-04-07T00:00:00,70.265,0.436,97.648,16.466,42.34,9888,19.02,9.986,129.648,
R-0000218,M-0002,2025-04-08T00:00:00,72.674,0.573,102.84,15.0,42.49,11349,20.97,10.59,100.425,
R-0000219,M-0002,2025-04-09T00:00:00,69.103,0.5597,98.463,17.408,46.2,9604,21.99,10.356,113.963,
R-0000220,M-0002,2025-04-10T00:00:00,70.478,0.5017,100.608,19.723,35.43,7227,13.12,9.818,88.634,
R-0000221,M-0002,2025-04-11T00:00:00,70.899,0.5091,99.259,15.755,36.5,11600,18.56,10.163,108.836,
R-0000222,M-0002,2025-04-12T00:00:00,72.979,0.5104,97.926,15.755,43.02,11009,13.45,10.03,126.92,
R-0000223,M-0002,2025-04-13T00:00:00,73.656,0.5596,99.229,17.77,41.63,8466,15.35,10.537,92.892,
R-0000224,M-0002,2025-04-14T00:00:00,73.323,0.5245,98.085,19.092,44.62,11742,13.9,10.3,119.467,
R-0000225,M-0002,2025-04-15T00:00:00,70.253,0.5167,102.962,15.87,44.57,8736,18.33,9.973,114.763,
R-0000226,M-0002,2025-04-16T00:00:00,70.161,0.5049,102.431,17.993,41.51,11025,15.72,9.773,107.799,
R-0000227,M-0002,2025-04-17T00:00:00,71.971,0.4753,100.197,13.578,47.13,9222,14.01,10.391,125.963,
